Log Time,Period(ms),Service,Operation
2018-07-10 17:55:23,111,CommonService,applicationCaseWS/getApplicationStatus/H61003D5R0
2018-07-10 17:55:24,14,CommonService,resubmitReasonWS/doFindAppStatus/H61003D5R0
2018-07-10 17:57:27,2,CommonService,WorkflowWS/logout
2018-07-10 17:57:43,27,CommonService,UnsecureWS/login
2018-07-10 17:57:44,136,CommonService,WorkflowWS/listUserInbox
2018-07-10 17:58:58,1217,CommonService,customerWS/findKplusCustomer
2018-07-10 18:00:06,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:00:08,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:01:06,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:01:06,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:01:06,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:25,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:25,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:26,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:27,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:27,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:28,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:28,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:28,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:29,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:29,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:30,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:31,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:32,5,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:32,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:34,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:36,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:37,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:39,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:42,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:43,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:43,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:43,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:43,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:44,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:44,3,CommonService,customerWS/inquiryKPlusAcceptResult
