MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,AxAvg,Service,Operation
73,51,62,4,248,HomeLoanService,HomeLoanWS/doSave/approve-070/verify-income
152,152,152,1,152,HomeLoanService,HomeLoanWS/doSave/approve-070/verify-summary
294,162,241,4,964,HomeLoanService,HomeLoanWS/doSave/approve-070/verify-website
28,17,22,2,44,HomeLoanService,HomeLoanWS/doSave/end/credit-limit-detail
103,30,59,15,885,HomeLoanService,HomeLoanWS/doSave/post-approve-010/approve-result-front
124,24,63,6,378,HomeLoanService,HomeLoanWS/doSave/post-approve-010/approve-summary
100,20,68,5,340,HomeLoanService,HomeLoanWS/doSave/post-approve-010/credit-limit-detail
196,129,167,3,501,HomeLoanService,HomeLoanWS/doSave/post-approve-010/summary-result
87,18,33,6,198,HomeLoanService,HomeLoanWS/doSave/prepare-012/summary-result
351,147,232,3,696,HomeLoanService,HomeLoanWS/doSave/prepare-020/income
377,172,274,2,548,HomeLoanService,HomeLoanWS/doSave/prepare-020/loan-info
74,74,74,1,74,HomeLoanService,HomeLoanWS/doSave/prepare-020/personal-info
41,21,30,5,150,HomeLoanService,HomeLoanWS/doSave/prepare-021/package
36,24,30,5,150,HomeLoanService,HomeLoanWS/doSave/prepare-021/summary-package
44,17,33,8,264,HomeLoanService,HomeLoanWS/doSave/prepare-022/summary-package
273,53,151,25,3775,HomeLoanService,HomeLoanWS/doSave/prepare-030/sale-channel
44,44,44,1,44,HomeLoanService,HomeLoanWS/doSave/prepare-030/summary-package
147,30,55,62,3410,HomeLoanService,HomeLoanWS/doSave/prepare-030/summary-result
31,11,16,5,80,HomeLoanService,HomeLoanWS/doSave/system-050/credit-limit-detail
242,242,242,1,242,HomeLoanService,HomeLoanWS/doSubmit/approve-010/collateral-acting
220,220,220,1,220,HomeLoanService,HomeLoanWS/doSubmit/approve-010/credit-exposure
222,222,222,1,222,HomeLoanService,HomeLoanWS/doSubmit/approve-010/debt-exposure
268,143,207,5,1035,HomeLoanService,HomeLoanWS/doSubmit/approve-010/partial-installment
342,186,239,3,717,HomeLoanService,HomeLoanWS/doSubmit/approve-010/relationship
300,80,180,38,6840,HomeLoanService,HomeLoanWS/doSubmit/approve-010/verify-document
913,560,736,2,1472,HomeLoanService,HomeLoanWS/doSubmit/approve-020/application-detail
1259,428,843,2,1686,HomeLoanService,HomeLoanWS/doSubmit/approve-020/approve-decision
1383,103,611,24,14664,HomeLoanService,HomeLoanWS/doSubmit/approve-020/approve-summary
1093,54,573,2,1146,HomeLoanService,HomeLoanWS/doSubmit/approve-020/credit-exposure
7,7,7,1,7,HomeLoanService,HomeLoanWS/doSubmit/approve-020/credit-limit-detail
99,99,99,1,99,HomeLoanService,HomeLoanWS/doSubmit/approve-020/policy-check
35,35,35,1,35,HomeLoanService,HomeLoanWS/doSubmit/approve-020/verify-customer
956,373,568,8,4544,HomeLoanService,HomeLoanWS/doSubmit/approve-020/verify-document
358,358,358,1,358,HomeLoanService,HomeLoanWS/doSubmit/approve-030/application-detail
162,162,162,1,162,HomeLoanService,HomeLoanWS/doSubmit/approve-030/approve-decision
432,94,189,30,5670,HomeLoanService,HomeLoanWS/doSubmit/approve-030/approve-summary
203,150,169,3,507,HomeLoanService,HomeLoanWS/doSubmit/approve-030/policy-check
146,146,146,1,146,HomeLoanService,HomeLoanWS/doSubmit/approve-030/verify-customer
270,270,270,1,270,HomeLoanService,HomeLoanWS/doSubmit/approve-030/verify-summary
267,200,232,7,1624,HomeLoanService,HomeLoanWS/doSubmit/approve-040/approve-summary
129,74,96,4,384,HomeLoanService,HomeLoanWS/doSubmit/approve-055/approve-decision
112,81,99,3,297,HomeLoanService,HomeLoanWS/doSubmit/approve-055/approve-summary
81,77,79,2,158,HomeLoanService,HomeLoanWS/doSubmit/approve-055/collateral-acting
257,49,112,14,1568,HomeLoanService,HomeLoanWS/doSubmit/approve-055/policy-check
