Period(ms),Service,Operation
227,HomeLoanService,HomeLoanWS/doPreload/approve-010/credit-exposure
125,HomeLoanService,HomeLoanWS/doPreload/approve-010/credit-limit-detail
193,HomeLoanService,HomeLoanWS/doPreload/approve-010/cust-info
348,HomeLoanService,HomeLoanWS/doPreload/approve-010/debt-exposure
213,HomeLoanService,HomeLoanWS/doPreload/approve-010/loan-info
582,HomeLoanService,HomeLoanWS/doPreload/approve-010/partial-installment
373,HomeLoanService,HomeLoanWS/doPreload/approve-010/relationship
977,HomeLoanService,HomeLoanWS/doPreload/approve-010/summary-result
588,HomeLoanService,HomeLoanWS/doPreload/approve-010/verify-document
141,HomeLoanService,HomeLoanWS/doPreload/approve-020/application-detail
694,HomeLoanService,HomeLoanWS/doPreload/approve-020/approve-decision
831,HomeLoanService,HomeLoanWS/doPreload/approve-020/approve-summary
18,HomeLoanService,HomeLoanWS/doPreload/approve-020/basic-repayment-ability
468,HomeLoanService,HomeLoanWS/doPreload/approve-020/collateral-acting
302,HomeLoanService,HomeLoanWS/doPreload/approve-020/credit-exposure
164,HomeLoanService,HomeLoanWS/doPreload/approve-020/credit-limit-detail
534,HomeLoanService,HomeLoanWS/doPreload/approve-020/cust-info
613,HomeLoanService,HomeLoanWS/doPreload/approve-020/debt-exposure
568,HomeLoanService,HomeLoanWS/doPreload/approve-020/income
409,HomeLoanService,HomeLoanWS/doPreload/approve-020/loan-info
693,HomeLoanService,HomeLoanWS/doPreload/approve-020/partial-installment
554,HomeLoanService,HomeLoanWS/doPreload/approve-020/personal-info
453,HomeLoanService,HomeLoanWS/doPreload/approve-020/policy-check
683,HomeLoanService,HomeLoanWS/doPreload/approve-020/relationship
42,HomeLoanService,HomeLoanWS/doPreload/approve-020/sale-channel
639,HomeLoanService,HomeLoanWS/doPreload/approve-020/summary-package
955,HomeLoanService,HomeLoanWS/doPreload/approve-020/summary-result
310,HomeLoanService,HomeLoanWS/doPreload/approve-020/verify-customer
645,HomeLoanService,HomeLoanWS/doPreload/approve-020/verify-document
336,HomeLoanService,HomeLoanWS/doPreload/approve-020/verify-hr
456,HomeLoanService,HomeLoanWS/doPreload/approve-020/verify-income
415,HomeLoanService,HomeLoanWS/doPreload/approve-020/verify-summary
379,HomeLoanService,HomeLoanWS/doPreload/approve-020/verify-website
133,HomeLoanService,HomeLoanWS/doPreload/approve-030/application-detail
