MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,AxAvg,Service,Operation
262,28,82,43,3526,HomeLoanService,HomeLoanWS/doSave/approve-020/collateral-acting
32255,14,1184,29,34336,HomeLoanService,HomeLoanWS/doSave/approve-020/credit-exposure
196,8,72,14,1008,HomeLoanService,HomeLoanWS/doSave/approve-020/credit-limit-detail
365,18,78,38,2964,HomeLoanService,HomeLoanWS/doSave/approve-020/debt-exposure
361,39,108,25,2700,HomeLoanService,HomeLoanWS/doSave/approve-020/partial-installment
361,19,78,74,5772,HomeLoanService,HomeLoanWS/doSave/approve-020/policy-check
262,13,74,27,1998,HomeLoanService,HomeLoanWS/doSave/approve-020/relationship
5086,27,722,45,32490,HomeLoanService,HomeLoanWS/doSave/approve-020/verify-customer
911,60,284,12,3408,HomeLoanService,HomeLoanWS/doSave/approve-020/verify-document
2927,39,1222,7,8554,HomeLoanService,HomeLoanWS/doSave/approve-020/verify-hr
182,32,81,26,2106,HomeLoanService,HomeLoanWS/doSave/approve-020/verify-income
5676,55,677,43,29111,HomeLoanService,HomeLoanWS/doSave/approve-020/verify-summary
98,29,55,7,385,HomeLoanService,HomeLoanWS/doSave/approve-020/verify-website
155,25,74,5,370,HomeLoanService,HomeLoanWS/doSave/approve-030/application-detail
460,63,139,48,6672,HomeLoanService,HomeLoanWS/doSave/approve-030/approve-decision
833,23,101,40,4040,HomeLoanService,HomeLoanWS/doSave/approve-030/approve-summary
281,55,102,6,612,HomeLoanService,HomeLoanWS/doSave/approve-030/collateral-acting
205,50,86,8,688,HomeLoanService,HomeLoanWS/doSave/approve-030/credit-limit-detail
307,70,176,3,528,HomeLoanService,HomeLoanWS/doSave/approve-030/debt-exposure
284,76,143,13,1859,HomeLoanService,HomeLoanWS/doSave/approve-030/partial-installment
232,23,90,37,3330,HomeLoanService,HomeLoanWS/doSave/approve-030/policy-check
179,40,102,7,714,HomeLoanService,HomeLoanWS/doSave/approve-030/relationship
2848,108,1478,2,2956,HomeLoanService,HomeLoanWS/doSave/approve-030/verify-customer
1014,105,246,7,1722,HomeLoanService,HomeLoanWS/doSave/approve-030/verify-document
371,53,99,18,1782,HomeLoanService,HomeLoanWS/doSave/approve-030/verify-income
2905,80,400,18,7200,HomeLoanService,HomeLoanWS/doSave/approve-030/verify-summary
98,29,50,4,200,HomeLoanService,HomeLoanWS/doSave/approve-055/application-detail
50,50,50,1,50,HomeLoanService,HomeLoanWS/doSave/approve-055/approve-summary
100,100,100,1,100,HomeLoanService,HomeLoanWS/doSave/approve-055/collateral-acting
157,30,58,12,696,HomeLoanService,HomeLoanWS/doSave/approve-055/policy-check
590,590,590,1,590,HomeLoanService,HomeLoanWS/doSave/approve-055/verify-document
94,88,90,3,270,HomeLoanService,HomeLoanWS/doSave/approve-060/approve-decision
495,25,93,25,2325,HomeLoanService,HomeLoanWS/doSave/approve-060/approve-summary
71,67,69,2,138,HomeLoanService,HomeLoanWS/doSave/approve-060/collateral-acting
60,52,56,3,168,HomeLoanService,HomeLoanWS/doSave/approve-060/credit-limit-detail
118,42,68,3,204,HomeLoanService,HomeLoanWS/doSave/approve-060/partial-installment
66,53,59,3,177,HomeLoanService,HomeLoanWS/doSave/approve-060/policy-check
54,53,53,2,106,HomeLoanService,HomeLoanWS/doSave/approve-060/relationship
397,351,375,3,1125,HomeLoanService,HomeLoanWS/doSave/approve-060/verify-document
2649,2649,2649,1,2649,HomeLoanService,HomeLoanWS/doSave/approve-060/verify-hr
2925,2628,2712,6,16272,HomeLoanService,HomeLoanWS/doSave/approve-060/verify-website
53,26,42,3,126,HomeLoanService,HomeLoanWS/doSave/post-approve-010/approve-result-front
68,49,58,2,116,HomeLoanService,HomeLoanWS/doSave/post-approve-010/approve-summary
119,119,119,1,119,HomeLoanService,HomeLoanWS/doSave/post-approve-010/summary-result
5931,5931,5931,1,5931,HomeLoanService,HomeLoanWS/doSave/prepare-010/cust-info
40,40,40,1,40,HomeLoanService,HomeLoanWS/doSave/prepare-011/summary-result
122,15,36,20,720,HomeLoanService,HomeLoanWS/doSave/prepare-012/summary-result
252,26,79,16,1264,HomeLoanService,HomeLoanWS/doSave/prepare-020/income
5478,119,1770,16,28320,HomeLoanService,HomeLoanWS/doSave/prepare-020/loan-info
550,61,179,17,3043,HomeLoanService,HomeLoanWS/doSave/prepare-020/personal-info
258,15,44,70,3080,HomeLoanService,HomeLoanWS/doSave/prepare-021/package
122,17,40,151,6040,HomeLoanService,HomeLoanWS/doSave/prepare-021/summary-package
144,17,40,35,1400,HomeLoanService,HomeLoanWS/doSave/prepare-022/summary-package
