MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,Service,Operation
100,100,100,1,CommonService,applicationCaseWS/saveApplicationRiskCheckingDetail
671,46,209,206,CommonService,atomicWS/registerSestionService
90,69,79,2,CommonService,confResubmitReasonWS/confResubmitReason
3241,3241,3241,1,CommonService,connectCloudPrintWS/printPdfNcbReject
2479,462,1319,4,CommonService,connectCloudPrintWS/printPdfOtherReject
91,10,36,7,CommonService,csvWS/download
46,32,41,4,CommonService,csvWS/upload
19,14,16,3,CommonService,customerWS/createUpdateCustomer
5501,113,1116,197,CommonService,customerWS/findCustomerFromCIS
1307,205,757,11,CommonService,customerWS/findCustomerFromIdentDocNo
1690,6,794,18,CommonService,customerWS/findCustomerList
9888,812,5237,12,CommonService,customerWS/findWealthDetails
30281,4,8419,94,CommonService,customerWS/getDeductAccountDetails
4385,4,58,496,CommonService,customerWS/getInquiryTable
8527,14,5729,5,CommonService,customerWS/getODAccountDetails
1853,5,84,53,CommonService,customerWS/inquiryForeignerCustomer
27316,28,5497,29,CommonService,decisionEngineWS/getLoanCal
5306,667,1464,143,CommonService,decisionEngineWS/getPolicy
175,11,40,15,CommonService,documentWS/getDocGroupFollowUpHistoryByflpRefId
67,25,35,6,CommonService,documentWS/viewContent
88,2,13,126,CommonService,dropdownWS/getAppStatusDropdown
103,59,75,3,CommonService,dropdownWS/getConfDQEProvinceRelation
233,1,6,351,CommonService,dropdownWS/getConfKdmsDocumentDropDown
79,1,15,160,CommonService,dropdownWS/getConfValueList
36009,131,475,423,CommonService,dropdownWS/getDihRCAll
4679,159,3811,12,CommonService,dropdownWS/getDimBolOrg
812,1,23,3740,CommonService,dropdownWS/getDropdown
150,3,9,369,CommonService,dropdownWS/getRejectReasonDropdown
149,7,52,50,CommonService,employeeWS/findBranchEmployee
245,6,26,33,CommonService,employeeWS/findDSAEmployee
32,17,22,3,CommonService,fileStorageWS/getPdfBlob
1004,7,37,171,CommonService,messageCodeWS/getAllMessage
73,45,51,7,CommonService,relationshipWS/deleteCustomer
304,57,103,18,CommonService,relationshipWS/findObjBySubjRelationship
17,7,10,11,CommonService,relationshipWS/findRelationByObjNSubj
175,12,54,45,CommonService,relationshipWS/getCustomerWealthAsset
173,17,57,45,CommonService,relationshipWS/getCustomerWealthKbank
253,12,59,45,CommonService,relationshipWS/getCustomerWealthOther
516,112,274,24,CommonService,relationshipWS/saveBorrowerCustomerProfile
5225,97,1139,5,CommonService,relationshipWS/saveRelationCustomerProfile
97,45,63,3,CommonService,relationshipWS/saveRelationship
292,6,26,122,CommonService,resubmitReasonWS/doFindAppStatus
64,32,48,2,CommonService,resubmitReasonWS/doFindByAppNo
275,275,275,1,CommonService,resubmitReasonWS/doUpdateApplication
250,250,250,1,CommonService,resubmitReasonWS/resubmitReason
148,32,75,3,CommonService,searchByCollateralWS/searchByCollateral
700,7,29,2391,CommonService,statusRejectWS/getRejectList
27,25,26,2,HomeLoanService,HomeLoanWS/doBack/approve-020/approve-decision
219,18,118,2,HomeLoanService,HomeLoanWS/doBack/approve-020/relationship
63,63,63,1,HomeLoanService,HomeLoanWS/doBack/approve-020/verify-summary
128,44,89,4,HomeLoanService,HomeLoanWS/doBack/approve-030/approve-decision
