Log Time,Period(ms),Service,Operation
2018-07-05 18:39:40,26,CommonService,statusRejectWS/getRejectList/H6100439R0
2018-07-05 18:39:43,15,CommonService,statusRejectWS/getRejectList/H6100439R0
2018-07-05 18:39:44,84,CommonService,statusRejectWS/getRejectList/H6100438R0
2018-07-05 18:39:45,47,CommonService,dropdownWS/getDropdown/HL_CUST_TITLE_FR
2018-07-05 18:39:45,53,CommonService,dropdownWS/getDropdown/RESIDENT_STATUS
2018-07-05 18:39:45,56,CommonService,dropdownWS/getDropdown/HL_CUST_TITLE_TH
2018-07-05 18:39:45,70,CommonService,dropdownWS/getDropdown/HL_NATIONALITY
2018-07-05 18:39:45,56,CommonService,dropdownWS/getDropdown/HL_DOC_REG
2018-07-05 18:39:45,64,CommonService,dropdownWS/getDropdown/HL_FACULTY
2018-07-05 18:39:45,75,CommonService,dropdownWS/getDropdown/HL_MARITAL
2018-07-05 18:39:45,8,CommonService,dropdownWS/getDropdown/HL_EDUCATION
2018-07-05 18:39:45,39,CommonService,dropdownWS/getDropdown/HL_FACULTY_MAJOR
2018-07-05 18:39:45,422,CommonService,dropdownWS/getDropdown/HL_EDU_INST
2018-07-05 18:39:45,510,CommonService,addressWS/getAllAddress
2018-07-05 18:39:52,310,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:39:53,28,CommonService,applicationCaseWS/getSmartServeCaseId/H6100439R0
2018-07-05 18:39:54,440,CommonService,atomicWS/registerSestionService/711
2018-07-05 18:39:55,80,CommonService,WorkflowWS/openCaseByAppNo/H610015BR1
2018-07-05 18:39:55,66,CommonService,statusRejectWS/getRejectList/H610015BR1
2018-07-05 18:40:00,564,CommonService,applicationCaseWS/getAppointmentInfo/H610015BR1
2018-07-05 18:40:00,10,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable/H610015BR1
2018-07-05 18:40:01,258,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch/810004
2018-07-05 18:40:01,394,CommonService,applicationCaseWS/getManagerOfSpecificBranch/810004
2018-07-05 18:40:29,4961,CommonService,customerWS/getDeductAccountDetails/7451029295
2018-07-05 18:40:34,24,CommonService,customerWS/getInquiryTable
2018-07-05 18:40:35,117,CommonService,WorkflowWS/openCaseByAppNo/H61003B0R0
2018-07-05 18:40:35,18,CommonService,statusRejectWS/getRejectList/H61003B0R0
2018-07-05 18:40:40,320,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:40:47,283,CommonService,applicationCaseWS/getCreditorsTable/H61000AER0
2018-07-05 18:40:47,729,CommonService,applicationCaseWS/getApplicationStatus/H61000AER0
2018-07-05 18:41:20,17,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:41:21,5,CommonService,dropdownWS/getDropdown/HL_OCCUPATION
2018-07-05 18:41:21,27,CommonService,dropdownWS/getDropdown/HL_PROFESSION
2018-07-05 18:41:21,27,CommonService,dropdownWS/getDropdown/BANK_CODE
2018-07-05 18:41:21,46,CommonService,dropdownWS/getDropdown/COUNTRY_CODE
2018-07-05 18:41:21,148,CommonService,addressWS/getAllAddress
2018-07-05 18:41:23,942,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:41:33,46,CommonService,UnsecureWS/login
2018-07-05 18:41:34,126,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:41:36,545,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:41:36,84,CommonService,WorkflowWS/openCaseByAppNo/H6100434R0
2018-07-05 18:41:36,18,CommonService,statusRejectWS/getRejectList/H6100434R0
2018-07-05 18:41:37,40,CommonService,dropdownWS/getDropdown/HL_RESIDENT_TYPE
2018-07-05 18:41:37,48,CommonService,dropdownWS/getConfValueList/CTR_COLL_MAIN_TYPE
2018-07-05 18:41:37,43,CommonService,dropdownWS/getDropdown/CTR_COLLATERAL_SUB_TYPE
2018-07-05 18:41:37,6,CommonService,dropdownWS/getDropdown/CTR_ACCEPT_RESULT
2018-07-05 18:41:37,13,CommonService,dropdownWS/getDropdown/CTR_ASSET_GROUP
2018-07-05 18:41:37,3,CommonService,dropdownWS/getDropdown/CTR_JURISTIC_ACT
2018-07-05 18:41:37,24,CommonService,dropdownWS/getDropdown/CMS_COLL_SUB_TYPE
2018-07-05 18:41:37,3,CommonService,dropdownWS/getDropdown/CTR_BUILDING_TYPE
2018-07-05 18:41:37,141,CommonService,addressWS/getAllDIHProvince
2018-07-05 18:41:37,4,CommonService,dropdownWS/getDropdown/CTR_ASSET_TYPE
2018-07-05 18:41:37,9,CommonService,dropdownWS/getDropdown/CTR_LEASING_TYPE
2018-07-05 18:41:37,12,CommonService,dropdownWS/getDropdown/CTR_DOCUMENT_TYPE
2018-07-05 18:41:37,4,CommonService,dropdownWS/getDropdown/CMS_COLL_TYPE
2018-07-05 18:41:38,739,CommonService,addressWS/getAllDIHDistrict
2018-07-05 18:41:39,1615,CommonService,addressWS/getAllDIHSubDistrict
2018-07-05 18:41:39,75,CommonService,WorkflowWS/openCaseByAppNo/H61000E2R0
2018-07-05 18:41:40,21,CommonService,statusRejectWS/getRejectList/H61000E2R0
2018-07-05 18:41:40,45,CommonService,customerWS/getInquiryTable
2018-07-05 18:41:43,127,CommonService,WorkflowWS/openCaseByAppNo/H61002BBR0
2018-07-05 18:41:43,85,CommonService,statusRejectWS/getRejectList/H61002BBR0
2018-07-05 18:41:44,69,CommonService,addressWS/getAllDIHProvince
2018-07-05 18:41:44,16,CommonService,dropdownWS/getDropdown/NCB_CREDIT_LIMIT_EDIT_TYPE
2018-07-05 18:41:44,26,CommonService,dropdownWS/getDropdown/NCB_OWNERSHIP_INDICATOR
2018-07-05 18:41:44,3,CommonService,dropdownWS/getDropdown/NCB_ACCOUNT_TYPE
2018-07-05 18:41:44,394,CommonService,addressWS/getAllDIHDistrict
2018-07-05 18:41:45,29,CommonService,dropdownWS/getDropdown/HL_PRODUCT
2018-07-05 18:41:45,1294,CommonService,addressWS/getAllDIHSubDistrict
2018-07-05 18:41:45,27,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-05 18:41:45,34,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
2018-07-05 18:41:45,36,CommonService,dropdownWS/getDropdown/HL_RESIDENT_TYPE
2018-07-05 18:41:45,37,CommonService,dropdownWS/getDropdown/SECOND_HAND_HOME_TYPE_CODE
2018-07-05 18:41:45,9,CommonService,dropdownWS/getDropdown/HL_PURPOSE
2018-07-05 18:41:45,1330,CommonService,applicationCaseWS/getAppointmentInfo/H61000E2R0
2018-07-05 18:41:45,317,CommonService,addressWS/getAllAddress
2018-07-05 18:41:46,77,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable/H61000E2R0
2018-07-05 18:41:46,690,CommonService,ConfHousingGradeWS/getConfHousingGrade
2018-07-05 18:41:46,289,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch/810004
2018-07-05 18:41:46,424,CommonService,applicationCaseWS/getManagerOfSpecificBranch/810004
2018-07-05 18:41:48,8,CommonService,dropdownWS/getDropdown/HL_PART_INST_CODE
2018-07-05 18:41:48,8,CommonService,PartInstPeriodWS/getConfPartInstPeriod/1
2018-07-05 18:41:48,8,CommonService,WorkflowWS/logout
2018-07-05 18:41:50,20,CommonService,dropdownWS/getDropdown/HL_DECISION_CODE
2018-07-05 18:41:50,76,CommonService,dropdownWS/getRejectReasonDropdown
2018-07-05 18:41:52,2139,CommonService,applicationCaseWS/getAppointmentInfo/H61002BBR0
2018-07-05 18:41:52,22,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable/H61002BBR0
2018-07-05 18:41:53,251,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch/810193
2018-07-05 18:41:53,359,CommonService,applicationCaseWS/getManagerOfSpecificBranch/810193
2018-07-05 18:41:56,339,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:41:56,34,CommonService,dropdownWS/getDropdown/HL_GENDER
2018-07-05 18:41:56,32,CommonService,dropdownWS/getDropdown/HL_RELATION_BORROWER_FR
2018-07-05 18:41:56,31,CommonService,dropdownWS/getDropdown/HL_CUST_TITLE_FR
2018-07-05 18:41:56,35,CommonService,dropdownWS/getDropdown/HL_DOC_REG
2018-07-05 18:41:56,35,CommonService,dropdownWS/getDropdown/HL_CUST_TITLE_TH
2018-07-05 18:41:56,36,CommonService,dropdownWS/getDropdown/HL_NATIONALITY
2018-07-05 18:42:02,4820,CommonService,customerWS/getDeductAccountDetails/7451029295
2018-07-05 18:42:08,26,CommonService,dropdownWS/getDropdown/HL_EDUCATION
2018-07-05 18:42:08,38,CommonService,dropdownWS/getDropdown/HL_FACULTY
2018-07-05 18:42:08,64,CommonService,dropdownWS/getDropdown/HL_MARITAL
2018-07-05 18:42:08,6,CommonService,dropdownWS/getDropdown/RESIDENT_STATUS
2018-07-05 18:42:08,66,CommonService,dropdownWS/getDropdown/HL_FACULTY_MAJOR
2018-07-05 18:42:09,181,CommonService,dropdownWS/getDropdown/HL_EDU_INST
2018-07-05 18:42:09,228,CommonService,addressWS/getAllAddress
2018-07-05 18:42:09,163,CommonService,addressWS/getAllAddress
2018-07-05 18:42:09,249,CommonService,UnsecureWS/login
2018-07-05 18:42:10,195,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:42:12,10,CommonService,dropdownWS/getDropdown/HL_OCCUPATION
2018-07-05 18:42:12,42,CommonService,dropdownWS/getDropdown/HL_PROFESSION
2018-07-05 18:42:12,40,CommonService,dropdownWS/getDropdown/COUNTRY_CODE
2018-07-05 18:42:12,109,CommonService,addressWS/getAllAddress
2018-07-05 18:42:12,101,CommonService,addressWS/getAllAddress
2018-07-05 18:42:16,78,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
2018-07-05 18:42:16,118,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-05 18:42:16,4,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-05 18:42:16,277,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
2018-07-05 18:42:16,285,CommonService,UnsecureWS/login
2018-07-05 18:42:16,422,CommonService,ConfHousingGradeWS/getConfHousingGrade
2018-07-05 18:42:17,81,CommonService,WorkflowWS/openCaseByAppNo/H6100434R0
2018-07-05 18:42:17,35,CommonService,statusRejectWS/getRejectList/H6100434R0
2018-07-05 18:42:18,27,CommonService,messageCodeWS/getAllMessage
2018-07-05 18:42:18,590,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:42:19,5561,CommonService,customerWS/getDeductAccountDetails/7451029295
2018-07-05 18:42:35,5863,CommonService,customerWS/getDeductAccountDetails/123456
2018-07-05 18:42:41,77,CommonService,WorkflowWS/openCaseByAppNo/H61000BDR0
2018-07-05 18:42:44,46,CommonService,statusRejectWS/getRejectList/H61000BDR0
2018-07-05 18:42:49,14,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-05 18:42:50,653,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:42:56,6134,CommonService,customerWS/getDeductAccountDetails/7451029295
2018-07-05 18:43:04,68,CommonService,applicationCaseWS/getCreditorsTable/H61003FDR0
2018-07-05 18:43:04,163,CommonService,applicationCaseWS/getApplicationStatus/H61003FDR0
2018-07-05 18:43:06,81,CommonService,WorkflowWS/openCaseByAppNo/H610022CR0
2018-07-05 18:43:06,16,CommonService,statusRejectWS/getRejectList/H610022CR0
2018-07-05 18:43:13,537,CommonService,applicationCaseWS/getAppointmentInfo/H610022CR0
2018-07-05 18:43:13,10,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable/H610022CR0
2018-07-05 18:43:14,237,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch/810005
2018-07-05 18:43:14,345,CommonService,applicationCaseWS/getManagerOfSpecificBranch/810005
2018-07-05 18:43:35,5909,CommonService,customerWS/getDeductAccountDetails/7451029295
2018-07-05 18:43:41,9,CommonService,dropdownWS/getDropdown/DOC_RETURN_REASON
2018-07-05 18:43:41,12,CommonService,dropdownWS/getDropdown/DOC_SUB_RETURN_REASON
2018-07-05 18:43:41,16,CommonService,dropdownWS/getConfKdmsDocumentDropDown/1
2018-07-05 18:43:42,328,CommonService,applicationCaseWS/getAppointmentInfo/H61000E2R0
2018-07-05 18:43:42,9,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable/H61000E2R0
2018-07-05 18:43:42,227,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch/810004
2018-07-05 18:43:43,339,CommonService,applicationCaseWS/getManagerOfSpecificBranch/810004
2018-07-05 18:44:01,20,CommonService,statusRejectWS/getRejectList/H61003FDR0
2018-07-05 18:44:05,7,CommonService,WorkflowWS/logout
2018-07-05 18:44:18,16,CommonService,statusRejectWS/getRejectList/H6100438R0
2018-07-05 18:44:18,5,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-05 18:44:20,53,CommonService,UnsecureWS/login
2018-07-05 18:44:21,12,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:44:38,102,CommonService,WorkflowWS/getDefaultPoolList/home-loan/approve-055
2018-07-05 18:44:41,298,CommonService,UnsecureWS/login
2018-07-05 18:44:42,1190,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:44:42,27,CommonService,WorkflowWS/logout
2018-07-05 18:44:45,6053,CommonService,applicationCaseWS/getAppointmentInfo/H61002BBR0
2018-07-05 18:44:45,85,CommonService,customerWS/getInquiryTable
2018-07-05 18:44:45,72,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable/H61002BBR0
2018-07-05 18:44:46,416,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch/810193
2018-07-05 18:44:46,704,CommonService,applicationCaseWS/getManagerOfSpecificBranch/810193
2018-07-05 18:44:47,703,CommonService,WorkflowWS/openCaseByAppNo/H61000AER0
2018-07-05 18:44:47,104,CommonService,statusRejectWS/getRejectList/H61000AER0
2018-07-05 18:44:54,299,CommonService,UnsecureWS/login
2018-07-05 18:44:55,245,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:45:06,10,CommonService,WorkflowWS/logout
2018-07-05 18:45:36,36,CommonService,UnsecureWS/login
2018-07-05 18:45:36,52,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:45:40,69,CommonService,statusRejectWS/getRejectList/H6100438R0
2018-07-05 18:45:40,13,CommonService,employeeWS/findBranchEmployee/810198
2018-07-05 18:45:41,673,CommonService,dropdownWS/getDihRCAll
2018-07-05 18:45:41,709,CommonService,dropdownWS/getDihRCAll
2018-07-05 18:45:41,465,CommonService,dropdownWS/getDihRCAll
2018-07-05 18:45:41,266,CommonService,WorkflowWS/openCaseByAppNo/H61003FDR0
2018-07-05 18:45:44,16,CommonService,statusRejectWS/getRejectList/H61003FDR0
2018-07-05 18:45:44,17,CommonService,employeeWS/findBranchEmployee/810198
2018-07-05 18:45:44,322,CommonService,dropdownWS/getDihRCAll
2018-07-05 18:46:06,18,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:46:10,9,CommonService,UnsecureWS/login
2018-07-05 18:46:13,75,CommonService,UnsecureWS/login
2018-07-05 18:46:14,186,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:46:16,82,CommonService,WorkflowWS/openCaseByAppNo/H6100434R0
2018-07-05 18:46:16,32,CommonService,statusRejectWS/getRejectList/H6100434R0
2018-07-05 18:46:19,35,CommonService,UnsecureWS/login
2018-07-05 18:46:20,1999,CommonService,applicationCaseWS/getAppointmentInfo/H61002BBR0
2018-07-05 18:46:21,8,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable/H61002BBR0
2018-07-05 18:46:21,245,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch/810193
2018-07-05 18:46:21,350,CommonService,applicationCaseWS/getManagerOfSpecificBranch/810193
2018-07-05 18:46:29,96,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:46:31,92,CommonService,WorkflowWS/openCaseByAppNo/H6100439R0
2018-07-05 18:46:32,25,CommonService,statusRejectWS/getRejectList/H6100439R0
2018-07-05 18:46:34,32,CommonService,dropdownWS/getDropdown/HL_PURPOSE
2018-07-05 18:47:29,17,CommonService,statusRejectWS/getRejectList/H6100439R0
2018-07-05 18:47:30,10,CommonService,dropdownWS/getDropdown/HL_MARITAL
2018-07-05 18:47:30,9,CommonService,dropdownWS/getDropdown/HL_EDUCATION
2018-07-05 18:47:30,17,CommonService,dropdownWS/getDropdown/RESIDENT_STATUS
2018-07-05 18:47:30,19,CommonService,dropdownWS/getDropdown/HL_FACULTY
2018-07-05 18:47:30,53,CommonService,dropdownWS/getDropdown/HL_FACULTY_MAJOR
2018-07-05 18:47:30,140,CommonService,dropdownWS/getDropdown/HL_EDU_INST
2018-07-05 18:47:30,220,CommonService,addressWS/getAllAddress
2018-07-05 18:48:09,53,CommonService,dropdownWS/getDropdown/HL_PROFESSION
2018-07-05 18:48:09,32,CommonService,dropdownWS/getDropdown/HL_OCCUPATION
2018-07-05 18:48:09,52,CommonService,dropdownWS/getDropdown/BANK_CODE
2018-07-05 18:48:09,54,CommonService,dropdownWS/getDropdown/COUNTRY_CODE
2018-07-05 18:48:09,133,CommonService,addressWS/getAllAddress
2018-07-05 18:48:38,11,CommonService,dropdownWS/getDropdown/HL_PRODUCT
